CPF,Nome,Gênero,E-mail,LinkedIn,Data de Nascimento,Localização,Anos de Experiência,Cargo Atual,Expectativa Salarial,Python,SQL,Cloud,Databricks,API,Inglês
123.456.789-10,Ana silva,Feminino,ana.silva@gmail.com,https://www.linkedin.com/in/ana.silva,1995-04-12,São Paulo - SP,5,Analista de Dados,8000,Intermediário,Avançado,Intermediário,Básico,Intermediário,Avançado
98765432100,Bruno Costa,Masculino,brunocosta@hotmail.com,https://www.linkedin.com/in/bruno-costa,1992-11-03,Rio de Janeiro/RJ,7,Engenheiro de Dados,R$ 9000 CLT,Avançado,Avançado,Intermediário,Intermediário,Intermediário,Intermediário
321.654.987-22,Carla Mendes,Feminino,carla.mendes@gmail.com,https://www.linkedin.com/in/carlaMendes,1998-01-20,Belo Horizonte MG,3,Analista de BI,7000 - PJ,Básico,Intermediário,Básico,Básico,Básico,Intermediário
45678912399,Diego souza,Masculino,diego.souza@gmail.com,https://www.linkedin.com/in/diego.souza,1994-06-15,Curitiba - PR,6,Engenheiro de Software,10.000 PJ,Intermediário,Intermediário,Intermediário,Básico,Intermediário,Intermediário
741.852.963-11,Elisa Rocha,Feminino,elisarocha@hotmail.com,https://www.linkedin.com/in/elisa-rocha,1991-09-09,Porto Alegre/RS,8,Engenheira de Dados,12k,Avançado,Avançado,Avançado,Intermediário,Avançado,Avançado
85296374100,Fabio Lima,Masculino,fabio.lima@gmail.com,https://www.linkedin.com/in/fabiolima,1997-03-30,Salvador - BA,4,Desenvolvedor Backend,8500,Intermediário,Intermediário,Básico,Básico,Intermediário,Intermediário
159.357.486-20,Gabriela Pires,Feminino,gabrielapires@gmail.com,https://www.linkedin.com/in/gabriela.pires,1993-07-18,Recife/PE,6,Analista de Dados,R$ 7500,Básico,Avançado,Básico,Básico,Intermediário,Avançado
75315948600,Henrique Alves,Masculino,henrique.alves@hotmail.com,https://www.linkedin.com/in/henrique-alves,1990-02-25,Fortaleza - CE,10,Engenheiro de Dados,11000 PJ,Avançado,Avançado,Intermediário,Avançado,Intermediário,Intermediário
951.753.852-44,Isabela Nogueira,Feminino,isabela.nogueira@gmail.com,https://www.linkedin.com/in/isabela.nogueira,1996-12-10,Manaus AM,5,Analista de BI,8.500,Intermediário,Intermediário,Básico,Básico,Básico,Intermediário
36925814700,João Pedro,Masculino,joaopedro@gmail.com,https://www.linkedin.com/in/joao-pedro,1994-08-01,Goiânia - GO,6,Engenheiro de Software,9000,Intermediário,Intermediário,Intermediário,Básico,Intermediário,Intermediário
14725836911,Karina Lopes,Feminino,karina.lopes@hotmail.com,https://www.linkedin.com/in/karina-lopes,1992-05-22,Cuiabá MT,7,Engenheira de Dados,10000 CLT,Avançado,Avançado,Intermediário,Intermediário,Intermediário,Avançado
25836914700,Lucas Martins,Masculino,lucas.martins@gmail.com,https://www.linkedin.com/in/lucasmartins,1999-01-05,Campo Grande - MS,2,Analista de Dados,6500,Básico,Intermediário,Básico,Básico,Básico,Intermediário
36914725899,Mariana Teixeira,Feminino,mariana.teixeira@gmail.com,https://www.linkedin.com/in/mariana-teixeira,1995-10-14,Florianópolis/SC,5,Analista de BI,R$ 8000 PJ,Intermediário,Avançado,Básico,Básico,Intermediário,Avançado
95175348600,Nicolas Freitas,Masculino,nicolas.freitas@hotmail.com,https://www.linkedin.com/in/nicolas-freitas,1991-04-27,Vitoria - ES,9,Engenheiro de Dados,11500,Avançado,Avançado,Avançado,Intermediário,Avançado,Intermediário
48615975322,Olivia Barros,Feminino,oliviabarros@gmail.com,https://www.linkedin.com/in/olivia.barros,1997-06-19,Maceió - AL,4,Analista de Dados,7.200,Básico,Intermediário,Básico,Básico,Básico,Intermediário
75348615900,Paulo Ricardo,Masculino,pauloricardo@gmail.com,https://www.linkedin.com/in/paulo-ricardo,1993-03-11,Natal/RN,6,Engenheiro de Software,9500 PJ,Intermediário,Intermediário,Intermediário,Básico,Intermediário,Intermediário
15975348699,Renata Azevedo,Feminino,renata.azevedo@hotmail.com,https://www.linkedin.com/in/renataazevedo,1990-12-02,João Pessoa - PB,10,Engenheira de Dados,12000 CLT,Avançado,Avançado,Avançado,Avançado,Avançado,Avançado
48675315900,Sergio Moraes,Masculino,sergio.moraes@gmail.com,https://www.linkedin.com/in/sergio-moraes,1989-09-29,Teresina PI,12,Analista de BI,8800,Intermediário,Avançado,Básico,Básico,Intermediário,Intermediário
75315982400,Tatiana Cruz,Feminino,tatiana.cruz@gmail.com,https://www.linkedin.com/in/tatiana-cruz,1996-02-17,Aracaju - SE,5,Analista de Dados,8000 PJ,Intermediário,Intermediário,Básico,Básico,Intermediário,Intermediário
82415975311,Vinicius Farias,Masculino,vinicius.farias@hotmail.com,https://www.linkedin.com/in/viniciusfarias,1992-07-08,Palmas TO,7,Engenheiro de Dados,10500,Avançado,Avançado,Intermediário,Intermediário,Intermediário,Intermediário
